Taxpayer Type,Tax Year,Transaction Date,Income Source,Deduction Type,State,Income,Deductions,Taxable Income,Tax Rate,Tax Owed
Non-Profit,2021,2021-06-23,Investment,Education Expenses,IL,523575.55,33475.41,490100.14,0.18212093513358768,89257.5
Individual,2022,2022-02-27,Royalties,Education Expenses,CA,340947.17,60756.41,280190.76,0.142436594745015,39909.42
Individual,2019,2019-07-27,Capital Gains,Medical Expenses,PA,328492.41,35383.28,293109.13,0.24363497677067464,71411.64
Non-Profit,2022,2022-10-25,Rental,Business Expenses,GA,952513.11,19254.61,933258.5,0.2654523956171342,247735.7
Non-Profit,2022,2022-01-24,Royalties,Mortgage Interest,FL,878708.28,231082.03,647626.25,0.33148392307484464,214677.69
Partnership,2023,2023-08-25,Investment,Mortgage Interest,PA,732295.04,93059.65,639235.39,0.2635178685220826,168449.95
Trust,2022,2022-02-17,Capital Gains,Charitable Contributions,MI,404890.12,42701.6,362188.52,0.12140610815785899,43971.9
Non-Profit,2022,2022-06-18,Salary,Mortgage Interest,IL,707593.4,141416.57,566176.8300000001,0.36447889159502334,206359.5
Corporation,2021,2021-08-14,Royalties,Mortgage Interest,NY,518032.71,83598.51,434434.2,0.18157609033132338,78882.86
Individual,2022,2022-06-10,Business Income,Business Expenses,FL,850590.81,59028.56,791562.25,0.3445220158430423,272710.62
Partnership,2022,2022-09-08,Investment,Charitable Contributions,NY,520588.48,146846.12,373742.36,0.34788942310475834,130021.01
Partnership,2020,2020-06-14,Rental,Business Expenses,NY,535820.28,1524.23,534296.05,0.1448141855594018,77373.65
Individual,2019,2019-10-20,Investment,Business Expenses,OH,715418.42,136675.36,578743.06,0.27289642638602163,157936.91
Partnership,2022,2022-07-13,Business Income,Business Expenses,MI,487391.77,95186.83,392204.94,0.36184405909682904,141917.03
Partnership,2020,2020-11-13,Royalties,Mortgage Interest,GA,371528.2,60460.38,311067.82,0.3373654184393824,104943.53
Individual,2023,2023-10-27,Investment,Business Expenses,CA,391532.99,92098.9,299434.08999999997,0.3565680459545191,106768.63
Trust,2022,2022-06-29,Rental,Medical Expenses,NY,907405.42,60885.61,846519.81,0.2601016665169589,220181.21
Non-Profit,2020,2020-05-28,Investment,Medical Expenses,OH,926621.84,194924.14,731697.7,0.3366142722134025,246299.89
Individual,2021,2021-05-08,Capital Gains,Business Expenses,FL,411518.88,27371.36,384147.52,0.36762256979859,141221.3
Partnership,2020,2020-07-21,Salary,Education Expenses,OH,786444.74,59518.17,726926.57,0.13144373528535883,95549.94
Trust,2020,2020-01-19,Business Income,Charitable Contributions,IL,983958.39,8502.8,975455.59,0.2308974471847381,225230.21
Partnership,2019,2019-09-04,Investment,Business Expenses,IL,607613.48,79767.23,527846.25,0.3145780104126908,166048.82
Partnership,2022,2022-05-25,Investment,Education Expenses,NC,320853.54,31115.23,289738.31,0.2278448816041526,66015.39
Individual,2023,2023-02-21,Investment,Education Expenses,MI,41278.48,4422.46,36856.020000000004,0.16032209153263083,5908.83
Partnership,2020,2020-07-27,Investment,Medical Expenses,GA,829348.38,179607.71,649740.67,0.12091620480823687,78564.18
Non-Profit,2023,2023-04-07,Salary,Mortgage Interest,OH,222207.79,43849.85,178357.94,0.18314694644407717,32665.71
Non-Profit,2022,2022-10-09,Capital Gains,Business Expenses,NC,743877.0,187849.27,556027.73,0.27830617063783614,154745.95
Corporation,2020,2020-04-06,Capital Gains,Charitable Contributions,TX,324843.72,40336.35,284507.37,0.1329327982266802,37820.36
Non-Profit,2022,2022-04-25,Rental,Charitable Contributions,NY,972657.72,160877.5,811780.22,0.15242624116238668,123736.61
Partnership,2022,2022-02-26,Royalties,Business Expenses,OH,539950.79,148914.29,391036.5,0.3440775600170868,134546.88
Individual,2023,2023-02-02,Capital Gains,Mortgage Interest,OH,97543.07,997.54,96545.53000000001,0.17341639190246144,16742.58
Individual,2020,2020-12-06,Business Income,Charitable Contributions,MI,508916.76,8445.77,500470.99,0.3185717298405852,159435.91
Corporation,2023,2023-04-15,Capital Gains,Medical Expenses,NY,875972.31,50305.01,825667.3,0.36918488750649026,304823.89
Non-Profit,2019,2019-08-29,Investment,Education Expenses,FL,697277.43,46743.51,650533.92,0.15320818827286162,99667.12
Trust,2022,2022-09-10,Salary,Medical Expenses,OH,70208.73,17246.24,52962.48999999999,0.34026691615140137,18021.38
Individual,2023,2023-06-15,Rental,Mortgage Interest,NY,252399.12,33032.87,219366.25,0.3032557537578665,66524.08
Partnership,2019,2019-03-14,Investment,Mortgage Interest,FL,561730.01,113198.29,448531.72000000003,0.18438697712763366,82703.41
Corporation,2022,2022-10-20,Business Income,Education Expenses,IL,584881.78,31661.51,553220.27,0.11475346922665275,63483.95
Partnership,2020,2020-02-22,Royalties,Medical Expenses,IL,259407.93,14408.65,244999.28,0.10755851905304892,26351.76
Individual,2019,2019-10-17,Rental,Charitable Contributions,IL,857412.74,52931.95,804480.79,0.23049001319715096,185424.79
Partnership,2023,2023-04-02,Capital Gains,Education Expenses,NC,641260.18,173995.14,467265.04000000004,0.15167432284361174,70872.11
Partnership,2021,2021-07-06,Capital Gains,Business Expenses,MI,293089.19,17528.57,275560.62,0.1948236901202881,53685.74
Non-Profit,2019,2019-03-18,Capital Gains,Education Expenses,NY,849620.33,39902.49,809717.84,0.3075777815210031,249051.22
Corporation,2019,2019-11-15,Royalties,Mortgage Interest,OH,196411.15,22412.23,173998.91999999998,0.12446012412255544,21655.93
Partnership,2023,2023-03-13,Investment,Charitable Contributions,GA,31237.2,6252.88,24984.32,0.28916480066991923,7224.59
Partnership,2020,2020-11-18,Business Income,Business Expenses,GA,174640.87,7597.08,167043.79,0.36859245928756557,61571.08
Individual,2020,2020-08-19,Capital Gains,Mortgage Interest,FL,252797.3,69602.22,183195.08,0.3473143384147798,63626.28
Individual,2019,2019-04-04,Business Income,Business Expenses,MI,269274.0,680.32,268593.68,0.13113295985723855,35221.48
Corporation,2021,2021-01-01,Business Income,Education Expenses,TX,434447.1,99154.72,335292.38,0.11955122027105114,40084.61
Partnership,2020,2020-10-14,Salary,Business Expenses,GA,727997.99,176952.33,551045.66,0.14956164014519271,82415.29
Individual,2020,2020-11-19,Business Income,Business Expenses,IL,228295.62,65494.99,162800.63,0.220857879929656,35955.8
Trust,2019,2019-09-11,Capital Gains,Mortgage Interest,NC,615001.22,161001.32,453999.89999999997,0.2678232700004919,121591.74
Individual,2023,2023-06-11,Business Income,Medical Expenses,CA,490420.36,9720.1,480700.26,0.2661073115893243,127917.85
Trust,2021,2021-09-21,Royalties,Charitable Contributions,PA,564957.84,33114.14,531843.7,0.14653419428320147,77933.29
Corporation,2022,2022-04-03,Royalties,Education Expenses,PA,401501.82,40622.69,360879.13,0.12772751545080302,46094.19
Trust,2019,2019-09-22,Rental,Mortgage Interest,NY,815755.87,80711.67,735044.2,0.16949607323046975,124587.11
Non-Profit,2020,2020-05-19,Capital Gains,Business Expenses,PA,437541.18,77179.58,360361.6,0.3047089600302789,109805.41
Non-Profit,2021,2021-10-27,Salary,Mortgage Interest,MI,121885.72,27420.9,94464.82,0.19803018549698825,18706.89
Corporation,2020,2020-04-11,Royalties,Charitable Contributions,TX,225229.92,54898.47,170331.45,0.34357941004289205,58522.38
Non-Profit,2020,2020-11-05,Business Income,Education Expenses,FL,665408.91,158868.05,506540.86000000004,0.1516680530007235,76826.07
Partnership,2022,2022-11-26,Capital Gains,Education Expenses,GA,431542.49,102938.69,328603.8,0.1498327362033963,49235.61
Non-Profit,2019,2019-12-04,Investment,Business Expenses,IL,780761.47,7159.18,773602.2899999999,0.3658248135686286,283002.91
Corporation,2020,2020-08-15,Investment,Charitable Contributions,FL,821720.75,198802.28,622918.47,0.36504528757106536,227393.45
Partnership,2022,2022-04-05,Salary,Medical Expenses,OH,826492.94,139366.01,687126.9299999999,0.13586367020348344,93355.59
Non-Profit,2019,2019-06-05,Investment,Charitable Contributions,IL,184701.23,50173.23,134528.0,0.3393614498019233,45653.62
Trust,2023,2023-01-30,Investment,Medical Expenses,NY,638046.07,4385.58,633660.49,0.368761385184162,233669.52
Trust,2022,2022-03-20,Rental,Charitable Contributions,PA,762488.03,127570.04,634917.99,0.10934881210784592,69427.53
Non-Profit,2019,2019-01-18,Salary,Business Expenses,MI,70800.91,12724.04,58076.87,0.15244725488519556,8853.66
Corporation,2020,2020-03-18,Royalties,Mortgage Interest,PA,238338.47,61529.97,176808.5,0.21392743272435633,37824.19
Partnership,2023,2023-08-22,Investment,Education Expenses,MI,555186.54,156972.7,398213.84,0.2991466067124957,119124.32
Individual,2019,2019-06-02,Salary,Education Expenses,IL,72310.72,15515.87,56794.85,0.13566572989347447,7705.11
Corporation,2019,2019-11-11,Rental,Business Expenses,GA,713144.12,177625.08,535519.04,0.23193362246955532,124204.87
Individual,2021,2021-11-26,Salary,Charitable Contributions,OH,746937.63,190723.56,556214.0700000001,0.2068349077928403,115044.49
Partnership,2019,2019-08-20,Investment,Charitable Contributions,NY,24333.04,2199.1,22133.940000000002,0.1768115406829616,3913.54
Trust,2020,2020-09-02,Rental,Medical Expenses,MI,407293.96,34027.78,373266.18000000005,0.11795189523728074,44027.45
Trust,2019,2019-01-26,Investment,Medical Expenses,IL,859116.25,71222.08,787894.17,0.19111865919404797,150581.28
Non-Profit,2019,2019-05-23,Rental,Education Expenses,PA,37878.99,2483.32,35395.67,0.21756998278604361,7701.04
Corporation,2023,2023-05-28,Rental,Mortgage Interest,TX,536819.87,65114.98,471704.89,0.3669322418865191,173083.73
Individual,2020,2020-10-08,Investment,Charitable Contributions,OH,599014.5,544.6,598469.9,0.27415094171080323,164071.09
Corporation,2021,2021-03-21,Royalties,Medical Expenses,PA,409626.17,71860.69,337765.48,0.1662176221619316,56142.57
Trust,2019,2019-01-25,Business Income,Charitable Contributions,CA,895727.69,198782.76,696944.9299999999,0.30881235481177916,215225.21
Corporation,2021,2021-03-30,Rental,Mortgage Interest,PA,334174.62,80624.15,253550.47,0.20468619002023736,51898.28
Non-Profit,2021,2021-08-28,Royalties,Education Expenses,TX,590978.89,102233.23,488745.66000000003,0.25725388621336903,125731.72
Trust,2019,2019-11-23,Business Income,Mortgage Interest,CA,658331.25,167849.63,490481.62,0.21912620759482507,107477.38
Non-Profit,2020,2020-12-18,Investment,Medical Expenses,MI,124661.27,33320.95,91340.32,0.17298930527407408,15800.9
Corporation,2019,2019-02-03,Royalties,Charitable Contributions,CA,713634.97,24571.11,689063.86,0.24161535060523182,166488.41
Individual,2023,2023-08-03,Business Income,Business Expenses,IL,354697.95,77638.31,277059.64,0.11484586572153714,31819.15
Trust,2021,2021-06-27,Investment,Mortgage Interest,TX,904461.85,52255.64,852206.21,0.35359652333191205,301337.15
Partnership,2019,2019-09-16,Salary,Medical Expenses,OH,674552.26,158485.63,516066.63,0.12334979602872795,63656.71
Individual,2022,2022-07-22,Salary,Education Expenses,FL,111355.74,14281.01,97074.73000000001,0.23653171749479063,22961.25
Partnership,2022,2022-11-26,Business Income,Charitable Contributions,GA,283455.43,58810.7,224644.72999999998,0.30957154077486915,69543.62
Individual,2020,2020-12-18,Business Income,Business Expenses,TX,249929.07,64059.09,185869.98,0.33158966268083534,61632.56
Non-Profit,2019,2019-03-31,Business Income,Business Expenses,OH,234334.49,6982.53,227351.96,0.2231765149915566,50739.62
Individual,2020,2020-02-01,Royalties,Charitable Contributions,FL,94612.79,4188.75,90424.04,0.1999323520113771,18078.69
Trust,2021,2021-02-21,Royalties,Education Expenses,MI,596950.33,176000.8,420949.52999999997,0.22667719141339795,95419.66
Partnership,2022,2022-01-09,Salary,Mortgage Interest,OH,213084.62,60366.31,152718.31,0.17049327022204658,26037.44
Corporation,2021,2021-11-07,Capital Gains,Charitable Contributions,NY,518862.29,149790.93,369071.36,0.17432970460884434,64340.1
Corporation,2023,2023-12-01,Rental,Medical Expenses,FL,100822.05,6821.42,94000.63,0.34358957772013227,32297.64
Corporation,2023,2023-01-24,Capital Gains,Charitable Contributions,FL,605986.18,149180.46,456805.7200000001,0.20573386634734953,93980.41
Individual,2022,2022-07-19,Salary,Education Expenses,NC,378298.4,8683.25,369615.15,0.16356140483508333,60454.77
Partnership,2020,2020-11-02,Investment,Medical Expenses,FL,886798.55,64282.36,822516.1900000001,0.28792225874729754,236820.72
Individual,2023,2023-04-28,Investment,Business Expenses,OH,56191.36,7916.97,48274.39,0.10402889792808244,5021.93
Trust,2021,2021-06-28,Salary,Business Expenses,IL,816438.54,15463.09,800975.4500000001,0.1531708157798723,122686.06
Individual,2020,2020-12-07,Rental,Charitable Contributions,PA,995496.84,44112.72,951384.12,0.15641889099103168,148814.45
Trust,2020,2020-12-01,Business Income,Mortgage Interest,PA,584683.8,69107.97,515575.8300000001,0.24020648668790626,123844.66
Corporation,2022,2022-03-15,Rental,Mortgage Interest,MI,230211.88,38114.27,192097.61000000002,0.21519920701829395,41339.25
Corporation,2020,2020-05-22,Salary,Business Expenses,GA,122576.88,31317.07,91259.81,0.2777604864460901,25348.37
Non-Profit,2020,2020-11-11,Rental,Business Expenses,PA,243447.39,59648.87,183798.52000000002,0.24788566272055906,45561.02
Trust,2019,2019-04-29,Business Income,Charitable Contributions,PA,873953.83,65105.58,808848.25,0.24722706610625633,199969.18
Partnership,2019,2019-04-09,Investment,Mortgage Interest,OH,613362.46,151698.78,461663.67999999993,0.11366882108542745,52476.77
Trust,2020,2020-02-05,Salary,Medical Expenses,NY,955168.91,260776.12,694392.79,0.12352269830982512,85773.27
Corporation,2022,2022-04-20,Rental,Business Expenses,CA,150307.1,23399.1,126908.0,0.3129664173735375,39717.94
Non-Profit,2020,2020-04-28,Royalties,Mortgage Interest,NY,348927.11,11776.88,337150.23,0.14737148721563567,49686.33
Non-Profit,2022,2022-05-23,Investment,Charitable Contributions,MI,363160.77,28992.58,334168.19,0.33653190844843417,112458.26
Partnership,2023,2023-05-08,Rental,Mortgage Interest,FL,978702.02,267455.01,711247.01,0.22643083184594656,161048.25
Individual,2022,2022-01-16,Salary,Charitable Contributions,TX,521402.38,7896.81,513505.57,0.15410041979241945,79131.42
Corporation,2023,2023-03-10,Business Income,Medical Expenses,NC,115484.28,11301.79,104182.48999999999,0.3464605539526282,36095.12
Corporation,2020,2020-07-15,Royalties,Business Expenses,NY,127827.98,10035.68,117792.29999999999,0.1534255816181137,18072.35
Trust,2021,2021-06-30,Investment,Charitable Contributions,MI,233951.25,2295.4,231655.85,0.32147147789535424,74470.75
Trust,2021,2021-04-15,Rental,Education Expenses,PA,233216.08,23963.62,209252.46,0.1890473186363634,39558.62
Corporation,2021,2021-01-13,Investment,Business Expenses,FL,770780.34,21430.61,749349.73,0.26772603976180637,200620.44
Trust,2021,2021-02-12,Rental,Mortgage Interest,FL,966445.15,125218.49,841226.66,0.34196177778520503,287667.36
Individual,2019,2019-08-23,Business Income,Business Expenses,FL,987225.69,137065.09,850160.6,0.2484088633631851,211187.43
Corporation,2022,2022-02-28,Capital Gains,Business Expenses,OH,527164.54,146523.92,380640.62,0.2834680947596967,107899.47
Corporation,2020,2020-01-05,Investment,Mortgage Interest,TX,479810.84,127914.07,351896.77,0.3346232415556022,117752.84
Non-Profit,2023,2023-04-27,Salary,Mortgage Interest,NY,118837.57,21502.32,97335.25,0.20001000985033202,19468.02
Trust,2022,2022-03-10,Investment,Medical Expenses,NC,633336.37,123135.4,510200.97,0.3059160907702806,156078.69
Non-Profit,2023,2023-11-02,Investment,Medical Expenses,PA,118014.09,27992.06,90022.03,0.31322581155194207,28197.22
Non-Profit,2023,2023-06-22,Business Income,Medical Expenses,MI,909428.56,165072.1,744356.4600000001,0.30901443852930754,230016.89
Partnership,2023,2023-01-01,Rental,Mortgage Interest,IL,771998.21,107760.24,664237.97,0.17708927875604735,117629.42
Trust,2021,2021-10-03,Business Income,Charitable Contributions,MI,260903.47,45263.96,215639.51,0.33299947097014226,71807.84
Partnership,2022,2022-05-27,Business Income,Education Expenses,NY,198173.41,7858.54,190314.87,0.10944314493110728,20828.66
Individual,2023,2023-06-14,Salary,Mortgage Interest,IL,931889.8,96946.59,834943.2100000001,0.3301368905981978,275645.56
Trust,2023,2023-06-29,Business Income,Mortgage Interest,TX,573644.33,169674.58,403969.75,0.2871504099369282,116000.08
Corporation,2020,2020-08-27,Investment,Education Expenses,NY,673886.92,173382.16,500504.76,0.21128547656016777,105749.39
Non-Profit,2020,2020-10-20,Rental,Education Expenses,OH,411197.18,122217.75,288979.43,0.11034052075337336,31886.14
Corporation,2019,2019-08-13,Salary,Education Expenses,GA,520673.13,71885.54,448787.59,0.16342968182481038,73345.21
Non-Profit,2021,2021-06-15,Business Income,Business Expenses,OH,344899.72,74716.64,270183.07999999996,0.3285906621398792,88779.64
Partnership,2021,2021-09-18,Capital Gains,Education Expenses,NY,727146.36,135790.05,591356.31,0.32970874970108,194975.35
Individual,2019,2019-01-21,Rental,Business Expenses,CA,946405.85,196962.08,749443.77,0.23228237374873204,174082.58
Corporation,2022,2022-11-01,Salary,Business Expenses,NC,118792.38,15651.24,103141.14,0.2161633942869064,22295.34
Individual,2021,2021-03-22,Capital Gains,Charitable Contributions,PA,568508.83,61008.95,507499.87999999995,0.3475439026968866,176378.49
Trust,2021,2021-09-20,Rental,Education Expenses,TX,108309.82,26621.51,81688.31000000001,0.28759368200204527,23493.04
Individual,2021,2021-08-23,Investment,Business Expenses,IL,855076.82,177325.51,677751.3099999999,0.34433917582984686,233376.33
Corporation,2022,2022-12-23,Rental,Mortgage Interest,NY,890485.71,232102.35,658383.36,0.13619895198739695,89671.12
Trust,2019,2019-10-07,Salary,Medical Expenses,IL,514478.96,83088.11,431390.85000000003,0.18707959089659099,80704.42
Non-Profit,2019,2019-08-27,Investment,Education Expenses,FL,138135.34,29056.38,109078.95999999999,0.2852031783629473,31109.67
Individual,2023,2023-05-18,Rental,Charitable Contributions,CA,425495.77,47561.02,377934.75,0.11483347589097954,43399.56
Partnership,2020,2020-12-06,Capital Gains,Education Expenses,TX,258156.71,13516.76,244639.94999999998,0.2066064296936449,50544.19
Individual,2020,2020-10-03,Royalties,Education Expenses,MI,334072.33,73082.97,260989.36000000002,0.15458519674521082,40345.09
Individual,2019,2019-06-01,Salary,Charitable Contributions,CA,951259.59,214015.55,737244.04,0.3337984632587928,246090.93
Corporation,2021,2021-03-30,Business Income,Charitable Contributions,CA,878975.02,230294.31,648680.71,0.18415170429417207,119455.66
Individual,2020,2020-05-08,Capital Gains,Business Expenses,CA,325926.9,65460.85,260466.05000000002,0.30336654156602894,79016.68
Trust,2023,2023-12-01,Capital Gains,Mortgage Interest,CA,158193.97,31094.66,127099.31,0.24551920590671777,31205.32
Non-Profit,2019,2019-05-29,Business Income,Charitable Contributions,CA,196996.84,38469.38,158527.46,0.3105927517440302,49237.48
Corporation,2023,2023-05-03,Investment,Mortgage Interest,CA,126863.79,12765.4,114098.39,0.2230374425505019,25448.21
Corporation,2022,2022-06-30,Salary,Charitable Contributions,IL,246989.24,41672.66,205316.58,0.14059006062008986,28865.47
Corporation,2019,2019-10-18,Royalties,Medical Expenses,GA,118919.03,13043.34,105875.69,0.2599125231090126,27518.42
Partnership,2021,2021-08-26,Capital Gains,Medical Expenses,CA,869544.92,148709.91,720835.01,0.3310720694819268,238648.34
Corporation,2023,2023-10-08,Investment,Mortgage Interest,FL,939568.36,153136.85,786431.51,0.21152460406951598,166349.61
Trust,2021,2021-10-20,Rental,Medical Expenses,CA,633020.44,36659.06,596361.3799999999,0.36357978776993227,216824.94
Partnership,2020,2020-05-29,Royalties,Education Expenses,FL,507458.08,1023.97,506434.11000000004,0.23563161441951896,119331.89
Partnership,2020,2020-06-01,Capital Gains,Education Expenses,CA,403945.58,70268.42,333677.16000000003,0.20999081727005933,70069.14
Non-Profit,2020,2020-10-18,Salary,Education Expenses,TX,886807.83,89411.67,797396.1599999999,0.1616128629989779,128869.48
Trust,2023,2023-02-28,Royalties,Medical Expenses,PA,798737.4,100292.04,698445.36,0.14415730947379315,100686.0
Individual,2022,2022-06-09,Royalties,Mortgage Interest,CA,498914.9,146782.05,352132.85000000003,0.14008506835011708,49328.55
Partnership,2021,2021-11-22,Business Income,Mortgage Interest,GA,286220.49,77916.28,208304.21,0.3188794371243128,66423.93
Non-Profit,2020,2020-05-30,Capital Gains,Business Expenses,NY,888430.3,208324.89,680105.41,0.14143271129603857,96189.15
Trust,2020,2020-11-06,Business Income,Mortgage Interest,NC,729323.47,109913.84,619409.63,0.300679273139723,186243.64
Individual,2020,2020-11-26,Investment,Medical Expenses,IL,166330.63,31344.57,134986.06,0.22258152837121542,30045.4
Corporation,2021,2021-10-01,Capital Gains,Education Expenses,IL,170779.63,18203.01,152576.62,0.10366040850170902,15816.15
Partnership,2021,2021-01-28,Investment,Business Expenses,CA,250977.28,42071.34,208905.94,0.10737113554537037,22430.47
Corporation,2019,2019-10-22,Salary,Charitable Contributions,NY,124964.95,5041.52,119923.43,0.3659899282580735,43890.77
Trust,2019,2019-03-19,Capital Gains,Education Expenses,IL,557271.67,93484.6,463787.07000000007,0.27132858171201835,125838.69
Non-Profit,2020,2020-05-20,Salary,Medical Expenses,GA,824545.02,11036.74,813508.28,0.11974326096857753,97412.13
Non-Profit,2022,2022-09-09,Rental,Mortgage Interest,NY,255826.43,31625.6,224200.83,0.3649099247526254,81813.11
Trust,2020,2020-02-28,Rental,Mortgage Interest,FL,155507.62,44136.89,111370.73,0.3490555099679905,38874.57
Corporation,2021,2021-09-12,Business Income,Charitable Contributions,OH,770107.22,65676.13,704431.09,0.35807895417473423,252241.95
Individual,2019,2019-09-28,Rental,Mortgage Interest,NC,347238.8,73850.0,273388.8,0.3125153733740848,85438.2
Individual,2021,2021-03-08,Investment,Mortgage Interest,TX,990876.47,86244.0,904632.47,0.30373129818131395,274765.19
Individual,2023,2023-11-03,Capital Gains,Charitable Contributions,TX,57977.37,9903.09,48074.28,0.11475705085704846,5516.86
Partnership,2020,2020-02-01,Capital Gains,Education Expenses,IL,222617.83,20542.09,202075.74,0.2371402387452799,47920.29
Non-Profit,2022,2022-12-13,Investment,Medical Expenses,IL,550097.72,155453.19,394644.52999999997,0.26818105195867725,105836.19
Non-Profit,2019,2019-09-09,Royalties,Education Expenses,TX,924331.31,164492.57,759838.74,0.20389839272460353,154929.9
Non-Profit,2020,2020-02-02,Capital Gains,Mortgage Interest,MI,554717.43,150822.2,403895.23000000004,0.1956311985697362,79014.51
Trust,2020,2020-08-06,Salary,Education Expenses,TX,662524.91,20129.66,642395.25,0.33797712931787494,217114.9
Non-Profit,2020,2020-10-26,Salary,Business Expenses,NC,535025.23,123033.08,411992.14999999997,0.14978287364471227,61709.37
Corporation,2021,2021-12-14,Investment,Charitable Contributions,TX,56263.92,9231.62,47032.299999999996,0.3503162541229027,16476.18
Non-Profit,2021,2021-08-26,Investment,Mortgage Interest,GA,405112.05,81573.79,323538.26,0.35873281701149606,116063.79
Corporation,2023,2023-04-03,Investment,Business Expenses,NY,522406.98,111886.42,410520.56,0.21848032064581127,89690.66
Trust,2023,2023-02-25,Capital Gains,Business Expenses,FL,828285.65,74116.46,754169.1900000001,0.2224326114973516,167751.82
Partnership,2019,2019-04-01,Capital Gains,Mortgage Interest,CA,434524.54,105720.91,328803.63,0.21370859018737154,70268.16
Individual,2019,2019-12-03,Investment,Medical Expenses,NY,963697.92,151975.31,811722.6100000001,0.2367226969011939,192153.17
Non-Profit,2019,2019-12-09,Salary,Education Expenses,FL,882115.75,49487.91,832627.84,0.20596916554520997,171495.66
Individual,2023,2023-05-24,Salary,Charitable Contributions,GA,361671.11,97863.31,263807.8,0.3132483221486356,82637.35
Individual,2023,2023-01-24,Capital Gains,Business Expenses,FL,75952.97,4293.83,71659.14,0.23858191351833502,17096.57
Non-Profit,2021,2021-09-19,Business Income,Mortgage Interest,NY,606824.94,128922.83,477902.1099999999,0.269551788519535,128819.37
Trust,2022,2022-07-28,Rental,Education Expenses,NY,363096.57,62711.3,300385.27,0.2951842308247913,88668.99
Non-Profit,2020,2020-10-23,Rental,Charitable Contributions,NY,127107.27,31973.99,95133.28,0.3382003756972554,32174.11
Corporation,2023,2023-10-14,Salary,Medical Expenses,OH,45453.71,13384.46,32069.25,0.29330999377295564,9406.23
Individual,2023,2023-08-12,Business Income,Charitable Contributions,TX,853293.51,39201.16,814092.35,0.19582400603437194,159418.83
Partnership,2020,2020-02-07,Business Income,Mortgage Interest,MI,692796.05,156730.19,536065.8600000001,0.19079411136444446,102278.21
Trust,2021,2021-07-17,Rental,Charitable Contributions,FL,754865.5,201580.35,553285.15,0.12242075151314175,67733.58
Corporation,2023,2023-08-13,Rental,Business Expenses,CA,244921.06,24664.54,220256.52,0.31294294752666985,68927.72
Partnership,2019,2019-04-19,Business Income,Medical Expenses,NC,97367.5,10223.64,87143.86,0.10421299151048374,9081.52
